NAME,ADDRESS,LATITUDE,LONGITUDE,AMENITY_TYPE,PHONE_NUMBER,ENVIRONMENT,COUNTER
Fountain location:Hastings & Kamloops,Northeast corner of Hastings & Kamloops,49.280997999999997,-123.054447999999994,WaterFountain,null,Outdoor,0
Fountain location:Main & 11th,Southeast corner of Main & 11th,49.261059400000001,-123.100784000000004,WaterFountain,null,Outdoor,0
Fountain location:Nelson & Broughton,In mini park at Nelson & Broughton,49.285710229999999,-123.133336749999998,WaterFountain,null,Outdoor,0
Fountain location:Nicola & Beach,Northeast corner of Nicola & Beach,49.282384999999998,-123.140507999999997,WaterFountain,null,Outdoor,0
Fountain location:Robson & Burrard,Northeast corner of Robson & Burrard,49.283065989999997,-123.122290539999995,WaterFountain,null,Outdoor,0
Fountain location:Robson & Chilco,In mini park at Robson & Chilco,49.293457160000003,-123.138270019999993,WaterFountain,null,Outdoor,0
Fountain location:Union & Hawks,In mini park at Union & Hawks,49.277572399999997,-123.087389000000002,WaterFountain,null,Outdoor,0
Fountain location: Cambie & 10th,Northeast corner of Cambie & 10th,49.262293999999997,-123.114543999999995,WaterFountain,null,Outdoor,0
Fountain location: Davie & Bute (Jim Deva Plaza),1200 Davie Street,49.281882000000003,-123.133951999999994,WaterFountain,null,Outdoor,0
Fountain location: Oak & 46th,Northeast corner of Oak & 46th,49.229343999999998,-123.127987000000005,WaterFountain,null,Outdoor,0
Fountain location: Ormidale St & Vanness Avenue,Southeast corner of Ormidale St & Vanness Avenue,49.234701999999999,-123.024716999999995,WaterFountain,null,Outdoor,0
Fountain location: Point Grey Road & Waterloo,1600 Waterloo St,49.271935999999997,-123.179474999999996,WaterFountain,null,Outdoor,0
Fountain location: River District Crossing & E Kent Ave North,Northeast corner of River District Crossing & E Kent Ave North,49.205331000000001,-123.031131000000002,WaterFountain,null,Outdoor,0
Fountain location: W 63rd Avenue & Yukon Street,Southeast corner of W 63rd Avenue & Yukon Street,49.213172999999998,-123.114628999999994,WaterFountain,null,Outdoor,0
Fountain location:Nelson & Howe,Southeast corner of Nelson & Howe,49.279671999999998,-123.123513000000003,WaterFountain,null,Outdoor,0
Fountain location:Pt.Grey & MacDonald,Northwest corner of Pt. Grey & MacDonald,49.271673999999997,-123.167862999999997,WaterFountain,null,Outdoor,0
Fountian Location: Fraser & Broadway ,Northwest corner of Fraser & Broadway ,49.262627999999999,-123.089224999999999,WaterFountain,null,Outdoor,0
null,1025 Boundary Road,49.2758809678,-123.0240719603,PublicWashroom,null,Outdoor,0
null,89 Expo Boulevard,49.2778209665,-123.1035990223,PublicWashroom,null,Outdoor,0
null,4594 Balaclava Street,49.2452339944,-123.1754609494,PublicWashroom,null,Outdoor,0
null,1433 Barclay Street,49.2872148698,-123.1325605109,PublicWashroom,null,Outdoor,0
null,3215 Slocan Street,49.2552329902,-123.0499339593,PublicWashroom,null,Outdoor,0
null,2510 Hoylake Avenue,49.2156069867,-123.056414955,PublicWashroom,null,Outdoor,0
null,895 W 27th Avenue,49.2474209947,-123.1244830217,PublicWashroom,null,Outdoor,0
null,4175 Victoria Drive,49.2478549907,-123.0654259491,PublicWashroom,null,Outdoor,0
null,650 North Penticton Street,49.2903639622,-123.0496489708,PublicWashroom,null,Outdoor,0
null,101 E Waterfront Road,49.2845920073,-123.1018350041,PublicWashroom,null,Outdoor,0
null,2995 W 19th Avenue,49.2567420169,-123.1726090104,PublicWashroom,null,Outdoor,0
null,4175 Wallace Street,49.2494269601,-123.191124962,PublicWashroom,null,Outdoor,0
null,2690 Grant Street,49.2711450329,-123.0497820279,PublicWashroom,null,Outdoor,0
null,5275 McKinnon Street,49.2365299637,-123.0367159607,PublicWashroom,null,Outdoor,0
null,5908 Alberta Street,49.2315229979,-123.112908974,PublicWashroom,null,Outdoor,0
null,1300 Pacific Boulevard,49.2723830073,-123.1254150352,PublicWashroom,null,Outdoor,0
null,5800 Elm Street,49.2334319792,-123.1632839446,PublicWashroom,null,Outdoor,0
null,1700 Beach Avenue,49.28615404,-123.1428049671,PublicWashroom,null,Outdoor,0
null,3434 Falaise Avenue,49.2551230347,-123.0294059867,PublicWashroom,null,Outdoor,0
null,8705 Angus Drive,49.2073949986,-123.1498560045,PublicWashroom,null,Outdoor,0
null,7800 Vivian Drive,49.2112953518,-123.0422996676,PublicWashroom,null,Outdoor,0
null,1851 Garden Drive,49.2682859984,-123.058333994,PublicWashroom,null,Outdoor,0
null,6675 Commercial Street,49.2238700451,-123.0694999785,PublicWashroom,null,Outdoor,0
null,1255 Commercial Drive,49.2737616313,-123.0699544464,PublicWashroom,null,Outdoor,0
null,3001 Fir Street,49.2584930115,-123.1419699499,PublicWashroom,null,Outdoor,0
null,4850 St. Catherines Street,49.2407870046,-123.0848870327,PublicWashroom,null,Outdoor,0
null,1905 Ogden Avenue,49.2774609931,-123.1503099821,PublicWashroom,null,Outdoor,0
null,1199 W Cordova Street,49.2898040141,-123.1214669986,PublicWashroom,null,Outdoor,0
null,3000 E Pender Street,49.2806479708,-123.0378739491,PublicWashroom,null,Outdoor,0
null,3941 Point Grey Road,49.2715800213,-123.1916589596,PublicWashroom,null,Outdoor,0
null,3941 Point Grey Road,49.274427989,-123.2028059987,PublicWashroom,null,Outdoor,0
null,3300 Victoria Drive,49.2539260389,-123.0613879889,PublicWashroom,null,Outdoor,0
null,110 W 7th Avenue,49.2644980299,-123.1076200161,PublicWashroom,null,Outdoor,0
null,5350 Commercial Street,49.236204959,-123.0683280271,PublicWashroom,null,Outdoor,0
null,1499 Arbutus Street,49.273014034,-123.1575429676,PublicWashroom,null,Outdoor,0
null,1499 Arbutus Street,49.2744719936,-123.1537029747,PublicWashroom,null,Outdoor,0
null,4445 NW Marine Drive,49.2750659923,-123.2065550131,PublicWashroom,null,Outdoor,0
null,710 Keefer Street,49.2790070229,-123.0893660404,PublicWashroom,null,Outdoor,0
null,6875 Yew Street,49.2233840215,-123.1595829747,PublicWashroom,null,Outdoor,0
null,3350 W 4th Avenue,49.2681069665,-123.1801409622,PublicWashroom,null,Outdoor,0
null,5955 Ross Street,49.2307380348,-123.0843880026,PublicWashroom,null,Outdoor,0
null,4701 Dunbar Street,49.2433349852,-123.1884550031,PublicWashroom,null,Outdoor,0
null,7646 Prince Albert Street,49.2152529959,-123.0873549789,PublicWashroom,null,Outdoor,0
null,1040 W 43rd Avenue,49.2318260466,-123.1292409865,PublicWashroom,null,Outdoor,0
null,2390 E 46th Avenue,49.228241999,-123.057429042,PublicWashroom,null,Outdoor,0
null,3201 New Brighton Road,49.28933397,-123.0360250074,PublicWashroom,null,Outdoor,0
null,3201 New Brighton Road,49.289293,-123.036308,PublicWashroom,null,Outdoor,0
null,5050 Wales Street,49.2379749903,-123.0514249599,PublicWashroom,null,Outdoor,0
null,900 W 59th Avenue,49.2162859951,-123.1276409787,PublicWashroom,null,Outdoor,0
null,400 Powell Street,49.2829379682,-123.0941810354,PublicWashroom,null,Outdoor,0
null,2325 Franklin Street,49.2822799987,-123.0574780492,PublicWashroom,null,Outdoor,0
null,3773 Prince Edward Street,49.2511909721,-123.0970569942,PublicWashroom,null,Outdoor,0
null,4600 Cambie Street,49.2389380178,-123.1115770566,PublicWashroom,null,Outdoor,0
null,4600 Cambie Street,49.2421839651,-123.1129190034,PublicWashroom,null,Outdoor,0
null,4600 Cambie Street,49.2422110177,-123.1128449753,PublicWashroom,null,Outdoor,0
null,4590 Magnolia Street,49.2446430483,-123.1487239449,PublicWashroom,null,Outdoor,0
null,2750 E Kent Ave S,49.2057680376,-123.0518469707,PublicWashroom,null,Outdoor,0
null,599 Kingsway,49.2586270164,-123.0928489868,PublicWashroom,null,Outdoor,0
null,7402 Ross Street,49.2166999807,-123.082798035,PublicWashroom,null,Outdoor,0
null,1600 Rupert Street,49.2701350042,-123.0306049796,PublicWashroom,null,Outdoor,0
null,1600 Rupert Street,49.2730500016,-123.0306829593,PublicWashroom,null,Outdoor,0
null,2750 E 29th Avenue,49.2444379784,-123.0479520172,PublicWashroom,null,Outdoor,0
null,4801 NW Marine Drive,49.277471986,-123.2226790554,PublicWashroom,null,Outdoor,0
null,4801 NW Marine Drive,49.2762439755,-123.2149200375,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.3020690032,-123.1329230422,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2908669672,-123.1453549644,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2956269926,-123.1507330006,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.303152992,-123.1559310487,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.299867996,-123.1307000049,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2996259646,-123.1260230026,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2936169901,-123.1487149567,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2939220383,-123.1385910294,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2922930216,-123.1465800409,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2977530147,-123.1314329661,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.3029259847,-123.130707979,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2995490315,-123.1340510161,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2930350373,-123.1465990248,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.3124120321,-123.1426499893,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.3105500284,-123.1483880399,PublicWashroom,null,Outdoor,0
null,2000 W Georgia Street,49.2994400235,-123.1212780196,PublicWashroom,null,Outdoor,0
null,857 Malkin Avenue,49.2745570066,-123.0861889918,PublicWashroom,null,Outdoor,0
null,1950 Windermere Street,49.2669229919,-123.0360179825,PublicWashroom,null,Outdoor,0
null,1204 Beach Avenue,49.2788370148,-123.1379500435,PublicWashroom,null,Outdoor,0
null,2845 W 3rd Avenue,49.2694760118,-123.1695119497,PublicWashroom,null,Outdoor,0
null,2610 W 23rd Avenue,49.2515549664,-123.1634719734,PublicWashroom,null,Outdoor,0
null,600 National Avenue,49.2748,-123.0929110423,PublicWashroom,null,Outdoor,0
null,5251 Oak Street,49.2385104499,-123.1286383402,PublicWashroom,null,Outdoor,0
null,5251 Oak Street,49.2386594327,-123.1295576458,PublicWashroom,null,Outdoor,0
null,1000 Chestnut Street,49.2751960118,-123.1398559437,PublicWashroom,null,Outdoor,0
null,1425 Victoria Drive,49.2717440428,-123.0674130165,PublicWashroom,null,Outdoor,0
null,2250 Trimble Street,49.2665415434,-123.2045795644,PublicWashroom,null,Outdoor,0
null,7575 Columbia Street,49.2157179804,-123.1129489453,PublicWashroom,null,Outdoor,0
null,Main at Hastings SW corner of intersection,49.281107,-123.09985,PublicWashroom,null,Outdoor,0
null,705 Woodland Drive,49.2783689722,-123.0732200047,PublicWashroom,null,Outdoor,0
null,Victory Square,49.2825906,-123.110132,PublicWashroom,null,Outdoor,0
null,Bute at Davie NE corner of intersection,49.2818541,-123.133141,PublicWashroom,null,Outdoor,0
null,Hastings at Carral - Pigeon Park NW corner of intersection,49.2816384,-123.104602,PublicWashroom,null,Outdoor,0
null,Main at Terminal NE corner of intersection,49.2731387,-123.099778,PublicWashroom,null,Outdoor,0
null,Nelson Park West side of park,49.283378,-123.130677,PublicWashroom,null,Outdoor,0
null,Nelson at Howe NE corner of intersection,49.2796964,-123.123516,PublicWashroom,null,Outdoor,0
null,Powell at Main NW corner of intersection,49.2832763,-123.099849,PublicWashroom,null,Outdoor,0
null,Richards at Davie - Emery Barnes Park NW corner of intersection,49.2760544,-123.124114,PublicWashroom,null,Outdoor,0
null,Robson at Granville NW corner of intersection,49.2816325,-123.120082,PublicWashroom,null,Outdoor,0
null,Robson at Richards NW corner of intersection,49.2803243,-123.118054,PublicWashroom,null,Outdoor,0
null,Vancouver Art Gallary NE Side of VAG Building,49.282961,-123.119864,PublicWashroom,null,Outdoor,0
Triage,707 Powell St,49.2832570142586,-123.089140653353,Shelter,604-254-3700,Indoor,0
Tenth Avenue Church,11 W 10th Ave,49.2623383061239,-123.105860462078,Shelter,604-876-2181,Indoor,0
Union Gospel Mission,601 E Hastings St,49.2818717041335,-123.090986046798,Shelter,604-253-3323,Indoor,0
Catholic Charities Men's Hostel,828 Cambie St,49.2777650064068,-123.114913417258,Shelter,604-443-3292,Indoor,0
Belkin House,555 Homer St,49.2824583823588,-123.112939685345,Shelter,604-681-3405,Indoor,0
Grandview Calvary Baptist Church,1803 E 1st Ave,49.2697474520736,-123.067356357987,Shelter,604-255-1411,Indoor,0
First Baptist Church,969 Burrard St,49.2818511556925,-123.126458247518,Shelter,604-683-8441,Indoor,0
Dusk to Dawn-Directions Youth Centre,1138 Burrard St,49.2795671693397,-123.127792927078,Shelter,604-633-1472,Indoor,0
New Fountain,356 E Hastings St,49.2828738118386,-123.105225398756,Shelter,604-331-1246,Indoor,0
Anchor of Hope,134 E Cordova St,49.2821327941377,-123.101324923635,Shelter,604-646-6899,Indoor,0
Crosswalk,119 E Cordova St,49.2818050804002,-123.107672478832,Shelter,604-669-4349,Indoor,0
Aboriginal Shelter,201 Central St,49.2715743534663,-123.099346861579,Shelter,604-347-0299,Indoor,0
Covenant House,575 Drake St,49.2754042223039,-123.126322529911,Shelter,604-685-7474,Indoor,0
The Haven,52 E Cordova St,49.2821349512488,-123.101429426307,Shelter,604-646-6800,Indoor,0
The Beacon,7 W Hastings St,49.2820397545483,-123.100913161934,Shelter,604-646-6846,Indoor,0
Vineyard Church,2475 Franklin St,49.2693356609832,-123.070551901448,Shelter,604-255-4463,Indoor,0
Lookout Downtown,2475 Franklin St,49.2837440886413,-123.096207657871,Shelter,604-681-9126,Indoor,0
First United Church,320 East Hastings Street,49.2809665379675,-123.097065334772,Shelter,604-681-8365,Indoor,0
Yukon Shelter,2088 Yukon St,49.2668908859729,-123.11236726194,Shelter,604-264-1680,Indoor,0
Insite,139 East Hastings Street,49.281260,-123.078310,InjectionSite,604-687-7483,Indoor,0
Pop-Up Injection Site,Cordova & Carrall,49.282485,-123.104307,InjectionSite,null,Outdoor,0
Overdose Prevention Society,58 East Hastings ,49.281340,-123.102900,InjectionSite,null,Indoor,0
